"scale","n_items","level","cfi","tli","rmsea","srmr","dCFI"
"anti_immigrant",6,"configural",0.904,0.839,0.133,0.052,NA
"anti_immigrant",6,"metric",0.88,0.863,0.123,0.065,-0.024
"anti_immigrant",6,"scalar",0.722,0.759,0.163,0.119,-0.158
"ascriptive",4,"configural",0.993,0.978,0.054,0.015,NA
"ascriptive",4,"metric",0.981,0.974,0.06,0.035,-0.012
"ascriptive",4,"scalar",0.874,0.892,0.122,0.093,-0.107
"superiority",3,"configural",1,1,0,0,NA
"superiority",3,"metric",0.968,0.943,0.091,0.042,-0.032
"superiority",3,"scalar",0.775,0.797,0.172,0.09,-0.193
"dem_rights",3,"configural",1,1,0,0,NA
"dem_rights",3,"metric",0.977,0.959,0.072,0.032,-0.023
"dem_rights",3,"scalar",0.747,0.773,0.168,0.091,-0.23
