year,group,measure,mean,n,n_countries
1995,West,ascriptive,0.5289,4239,4
1995,West,anti_imm,0.5887,4211,4
1995,West,born,0.6316,4191,4
1995,West,crime,0.5488,3993,4
1995,Non-West,ascriptive,0.5482,26226,20
1995,Non-West,anti_imm,0.5833,26037,20
1995,Non-West,born,0.6694,25967,20
1995,Non-West,crime,0.5832,24932,20
2003,West,ascriptive,0.5172,22136,18
2003,West,anti_imm,0.542,22264,18
2003,West,born,0.6467,21849,18
2003,West,crime,0.5825,21537,18
2003,Non-West,ascriptive,0.6414,23201,18
2003,Non-West,anti_imm,0.5963,20517,17
2003,Non-West,born,0.7482,23005,18
2003,Non-West,crime,0.5847,19490,17
2013,West,ascriptive,0.4575,18865,14
2013,West,anti_imm,0.5363,18920,14
2013,West,born,0.6148,18607,14
2013,West,crime,0.5689,18230,14
2013,Non-West,ascriptive,0.6162,23238,18
2013,Non-West,anti_imm,0.593,25811,19
2013,Non-West,born,0.7111,23069,18
2013,Non-West,crime,0.6077,24809,19
2023,West,ascriptive,0.3766,21465,14
2023,West,anti_imm,0.4644,21572,14
2023,West,born,0.5151,21184,14
2023,West,crime,0.5284,20864,14
2023,Non-West,ascriptive,0.6474,21726,15
2023,Non-West,anti_imm,0.5794,21708,15
2023,Non-West,born,0.721,21611,15
2023,Non-West,crime,0.6113,21200,15
